Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.40.30-10.11.10.201-58775-80-6,10.11.10.201,80,192.168.40.30,58775,6,14/11/2019 07:59:29 AM,50,0,2,0.0,12.0,0,0,0,0,6.0,6.0,6.0,0.0,240000.0,40000.0,50.0,0.0,50.0,50.0,0,0,0,0,0,50.0,50.0,0.0,50.0,50.0,0,0,0,0,0,40,0.0,40000.0,6.0,6.0,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,9.0,0.0,6.0,0,0,0,0,0,0,0,0,2,12,-1,1023,0,0,0,0,0,0,0,0,0,0,No Label
192.168.40.30-10.11.10.201-58776-80-6,10.11.10.201,80,192.168.40.30,58776,6,14/11/2019 07:59:29 AM,90,6,11,248.0,762.0,115.0,0.0,41.33333333333333,57.10925202335141,363.0,0.0,69.27272727272727,145.24743778056185,1.1222222222222222E7,188888.88888888888,5.625,10.493648872850027,33.0,0.0,89.0,17.8,24.51938009004306,55.0,1.0,23.0,2.3000000000000003,2.406010991015812,9.0,1.0,0,0,0,0,132,256,66666.66666666666,122222.22222222222,0.0,363.0,56.111111111111114,117.2327443160369,13743.516339869282,0,1,0,0,1,0,0,0,1.0,59.411764705882355,41.333333333333336,69.27272727272727,0,0,0,0,0,0,6,248,11,762,-1,1023,5,0,0,0,0,0,0,0,0,0,No Label
172.10.2.104-192.168.10.23-80-53598-6,192.168.10.23,53598,172.10.2.104,80,6,14/11/2019 07:59:29 AM,99257,1,1,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,120.89827417713613,20.14971236285602,99257.0,0.0,99257.0,99257.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,10.07485618142801,10.07485618142801,6.0,6.0,6.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,-1,1023,1,0,0,0,0,0,0,0,0,0,No Label
172.10.2.104-192.168.10.23-80-53599-6,192.168.10.23,53599,172.10.2.104,80,6,14/11/2019 07:59:29 AM,27,2,5,397.0,127.0,391.0,6.0,198.5,272.2361107568208,115.0,0.0,25.4,50.17768428295591,1.9407407407407407E7,259259.25925925927,4.5,4.505552130427524,13.0,1.0,2.0,2.0,0.0,2.0,2.0,27.0,6.75,7.135591542869215,17.0,1.0,0,0,0,0,40,124,74074.07407407407,185185.1851851852,0.0,391.0,65.5,137.2651240691323,18841.714285714286,0,1,0,0,0,0,0,0,2.0,74.85714285714286,198.5,25.4,0,0,0,0,0,0,2,397,5,127,-1,237,2,0,0,0,0,0,0,0,0,0,No Label
172.10.2.104-192.168.10.23-80-53598-6,172.10.2.104,80,192.168.10.23,53598,6,14/11/2019 07:59:29 AM,887,1,2,6.0,12.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,20293.122886133035,3382.1871476888386,443.5,555.0788232314399,836.0,51.0,0,0,0,0,0,887.0,887.0,0.0,887.0,887.0,0,0,0,0,20,40,1127.3957158962796,2254.7914317925593,6.0,6.0,6.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,8.0,6.0,6.0,0,0,0,0,0,0,1,6,2,12,-1,1023,1,0,0,0,0,0,0,0,0,0,No Label
172.10.2.104-192.168.10.23-80-53599-6,192.168.10.23,53599,172.10.2.104,80,6,14/11/2019 07:59:29 AM,890,4,5,403.0,133.0,391.0,0.0,100.75,193.52067073054496,115.0,0.0,26.6,49.48535136785431,602247.1910112359,10112.359550561798,111.25000000000001,282.1730725231287,809.0,1.0,865.0,288.33333333333337,496.81015824289796,862.0,1.0,890.0,222.5,392.92535338577136,811.0,3.0,0,0,0,0,92,112,4494.38202247191,5617.9775280898875,0.0,391.0,54.2,123.35387216369732,15216.177777777779,0,0,0,0,1,0,0,0,1.0,60.22222222222222,100.75,26.6,0,0,0,0,0,0,4,403,5,133,-1,237,3,0,0,0,0,0,0,0,0,0,No Label
192.168.40.30-10.11.10.201-58776-80-6,10.11.10.201,80,192.168.40.30,58776,6,14/11/2019 07:59:29 AM,99859,0,2,0.0,12.0,0,0,0,0,6.0,6.0,6.0,0.0,120.1694389088615,20.028239818143582,99859.0,0.0,99859.0,99859.0,0,0,0,0,0,99859.0,99859.0,0.0,99859.0,99859.0,0,0,0,0,0,40,0.0,20.028239818143582,6.0,6.0,6.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,9.0,0.0,6.0,0,0,0,0,0,0,0,0,2,12,-1,1023,0,0,0,0,0,0,0,0,0,0,No Label
192.168.40.30-10.11.10.201-58777-80-6,192.168.40.30,58777,10.11.10.201,80,6,14/11/2019 07:59:29 AM,15,2,5,369.0,127.0,363.0,6.0,184.5,252.43712088359746,115.0,0.0,25.4,50.17768428295591,3.3066666666666664E7,466666.6666666666,2.5,1.8708286933869707,6.0,1.0,2.0,2.0,0.0,2.0,2.0,15.0,3.75,4.856267428111155,11.0,1.0,0,0,0,0,40,124,133333.33333333334,333333.3333333333,0.0,363.0,62.0,127.8112447545766,16335.714285714286,0,1,0,0,0,0,0,0,2.0,70.85714285714286,184.5,25.4,0,0,0,0,0,0,2,369,5,127,-1,237,2,0,0,0,0,0,0,0,0,0,No Label
192.168.40.30-10.11.10.201-58777-80-6,192.168.40.30,58777,10.11.10.201,80,6,14/11/2019 07:59:29 AM,3,2,1,12.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,6000000.0,1000000.0,1.5,0.7071067811865476,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,40,20,666666.6666666666,333333.3333333333,6.0,6.0,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,8.0,6.0,6.0,0,0,0,0,0,0,2,12,1,6,-1,1023,2,0,0,0,0,0,0,0,0,0,No Label
192.168.40.30-10.11.10.201-58778-80-6,192.168.40.30,58778,10.11.10.201,80,6,14/11/2019 07:59:29 AM,18,2,5,369.0,127.0,363.0,6.0,184.5,252.43712088359746,115.0,0.0,25.4,50.17768428295591,2.7555555555555556E7,388888.8888888889,3.0,1.7888543819998317,5.0,1.0,3.0,3.0,0.0,3.0,3.0,18.0,4.5,4.725815626252608,11.0,1.0,0,0,0,0,40,124,111111.11111111111,277777.77777777775,0.0,363.0,62.0,127.8112447545766,16335.714285714286,0,1,0,0,0,0,0,0,2.0,70.85714285714286,184.5,25.4,0,0,0,0,0,0,2,369,5,127,-1,237,2,0,0,0,0,0,0,0,0,0,No Label
192.168.40.30-10.11.10.201-58776-80-6,10.11.10.201,80,192.168.40.30,58776,6,14/11/2019 07:59:29 AM,34,0,2,0.0,12.0,0,0,0,0,6.0,6.0,6.0,0.0,352941.17647058825,58823.529411764706,34.0,0.0,34.0,34.0,0,0,0,0,0,34.0,34.0,0.0,34.0,34.0,0,0,0,0,0,40,0.0,58823.529411764706,6.0,6.0,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,9.0,0.0,6.0,0,0,0,0,0,0,0,0,2,12,-1,1023,0,0,0,0,0,0,0,0,0,0,No Label
192.168.40.30-10.11.10.201-58777-80-6,10.11.10.201,80,192.168.40.30,58777,6,14/11/2019 07:59:29 AM,39,7,7,248.0,744.0,115.0,0.0,35.42857142857142,54.42382181501387,363.0,0.0,106.28571428571428,175.38977002257408,2.5435897435897436E7,358974.358974359,3.0000000000000004,4.864839839775475,19.0,1.0,11.0,1.8333333333333333,1.6020819787597222,5.0,1.0,33.0,5.5,6.833739825307955,19.0,1.0,0,0,0,0,164,164,179487.1794871795,179487.1794871795,0.0,363.0,66.53333333333333,126.44584762242049,15988.552380952382,0,0,0,0,1,0,0,0,1.0,71.28571428571429,35.42857142857143,106.28571428571429,0,0,0,0,0,0,7,248,7,744,-1,1024,5,0,0,0,0,0,0,0,0,0,No Label
192.168.40.30-10.11.10.201-58777-80-6,10.11.10.201,80,192.168.40.30,58777,6,14/11/2019 07:59:29 AM,59,0,6,0.0,36.0,0,0,0,0,6.0,6.0,6.0,0.0,610169.4915254237,101694.91525423729,11.8,22.47665455533808,52.0,1.0,0,0,0,0,0,59.0,11.8,22.47665455533808,52.0,1.0,0,0,0,0,0,120,0.0,101694.91525423729,6.0,6.0,6.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,7.0,0.0,6.0,0,0,0,0,0,0,0,0,6,36,-1,1023,0,0,0,0,0,0,0,0,0,0,No Label
192.168.40.30-10.11.10.201-58778-80-6,192.168.40.30,58778,10.11.10.201,80,6,14/11/2019 07:59:29 AM,124,5,8,18.0,254.0,6.0,0.0,3.6,3.286335345030997,115.0,0.0,31.75,51.44969804159621,2193548.3870967743,104838.70967741935,10.333333333333332,29.2149816278421,103.0,0.0,119.0,29.750000000000004,53.5,110.0,3.0,124.0,17.71428571428571,39.415370460918275,107.0,2.0,0,0,0,0,124,184,40322.58064516129,64516.12903225806,0.0,115.0,19.857142857142858,40.39965183181494,1632.1318681318683,0,0,0,0,1,0,0,0,1.0,21.384615384615383,3.6,31.75,0,0,0,0,0,0,5,18,8,254,-1,237,3,0,0,0,0,0,0,0,0,0,No Label
